"노선별","항공사별","도착출발별","시점",여객 (명)
"인천-제주","계","출발","2020.02",0
"인천-제주","계","출발","2020.07",83
"인천-제주","계","출발","2020.08",178
"인천-제주","계","출발","2020.10",191
"인천-제주","계","출발","2020.11",261
"인천-제주","계","출발","2020.12",42
"인천-제주","계","출발","2021.01",50
"인천-제주","계","출발","2021.02",30
"인천-제주","계","출발","2021.03",0
"인천-제주","계","출발","2021.04",174
"인천-제주","계","출발","2021.05",22
"인천-제주","계","출발","2021.06",136
"인천-제주","계","출발","2021.07",174
"인천-제주","계","출발","2021.08",0
"인천-제주","계","출발","2021.11",0
"인천-제주","계","출발","2021.12",0
"인천-제주","계","출발","2022.01",0
"인천-제주","계","출발","2022.04",0
"인천-제주","계","출발","2022.05",0
"인천-제주","계","출발","2022.06",0
"인천-제주","계","출발","2022.07",0
"인천-제주","계","출발","2022.08",0
"인천-제주","계","출발","2022.10",0
"인천-제주","계","출발","2022.11",0
"김해-제주","계","도착","2020.02",74661
"김해-제주","계","도착","2020.03",59760
"김해-제주","계","도착","2020.04",66150
"김해-제주","계","도착","2020.05",107467
"김해-제주","계","도착","2020.06",124104
"김해-제주","계","도착","2020.07",130933
"김해-제주","계","도착","2020.08",144007
"김해-제주","계","도착","2020.09",94902
"김해-제주","계","도착","2020.10",140044
"김해-제주","계","도착","2020.11",175029
"김해-제주","계","도착","2020.12",83520
"김해-제주","계","도착","2021.01",67841
"김해-제주","계","도착","2021.02",122242
"김해-제주","계","도착","2021.03",135675
"김해-제주","계","도착","2021.04",150406
"김해-제주","계","도착","2021.05",161822
"김해-제주","계","도착","2021.06",150611
"김해-제주","계","도착","2021.07",145265
"김해-제주","계","도착","2021.08",135596
"김해-제주","계","도착","2021.09",118491
"김해-제주","계","도착","2021.10",169158
"김해-제주","계","도착","2021.11",177372
"김해-제주","계","도착","2021.12",153571
"김해-제주","계","도착","2022.01",170571
"김해-제주","계","도착","2022.02",149065
"김해-제주","계","도착","2022.03",120876
"김해-제주","계","도착","2022.04",156295
"김해-제주","계","도착","2022.05",176386
"김해-제주","계","도착","2022.06",160627
"김해-제주","계","도착","2022.07",149999
"김해-제주","계","도착","2022.08",173834
"김해-제주","계","도착","2022.09",132381
"김해-제주","계","도착","2022.10",174724
"김해-제주","계","도착","2022.11",161463
"김해-제주","계","출발","2020.02",73237
"김해-제주","계","출발","2020.03",58165
"김해-제주","계","출발","2020.04",71962
"김해-제주","계","출발","2020.05",103236
"김해-제주","계","출발","2020.06",123455
"김해-제주","계","출발","2020.07",134085
"김해-제주","계","출발","2020.08",137071
"김해-제주","계","출발","2020.09",94827
"김해-제주","계","출발","2020.10",143458
"김해-제주","계","출발","2020.11",168994
"김해-제주","계","출발","2020.12",80610
"김해-제주","계","출발","2021.01",67886
"김해-제주","계","출발","2021.02",125769
"김해-제주","계","출발","2021.03",132863
"김해-제주","계","출발","2021.04",153969
"김해-제주","계","출발","2021.05",157498
"김해-제주","계","출발","2021.06",149297
"김해-제주","계","출발","2021.07",149091
"김해-제주","계","출발","2021.08",125553
"김해-제주","계","출발","2021.09",118848
"김해-제주","계","출발","2021.10",171646
"김해-제주","계","출발","2021.11",172389
"김해-제주","계","출발","2021.12",156617
"김해-제주","계","출발","2022.01",164395
"김해-제주","계","출발","2022.02",148395
"김해-제주","계","출발","2022.03",118080
"김해-제주","계","출발","2022.04",158350
"김해-제주","계","출발","2022.05",174690
"김해-제주","계","출발","2022.06",159305
"김해-제주","계","출발","2022.07",158652
"김해-제주","계","출발","2022.08",166350
"김해-제주","계","출발","2022.09",134143
"김해-제주","계","출발","2022.10",172516
"김해-제주","계","출발","2022.11",158247
